@RELATION weekly

@ATTRIBUTE weekly_symbol string
@ATTRIBUTE stock_open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE stock_close real
@ATTRIBUTE adjusted_close real
@ATTRIBUTE volume real
@ATTRIBUTE dividend_amount real
@ATTRIBUTE cobdate_partition DATE "yyyy-MM-dd"

@DATA
JPM,16.55,17.85,15.26,17.19,10.2522,112174500,0.0,"2002-10-11"
JPM,17.01,19.75,16.8,18.97,11.3138,69958000,0.0,"2002-10-18"
JPM,18.68,20.88,18.55,20.37,12.1488,68150300,0.0,"2002-10-25"
JPM,21.0,21.78,19.9,21.52,12.8346,57748900,0.0,"2002-11-01"
JPM,22.35,23.06,20.0,20.2,12.0474,74419600,0.0,"2002-11-08"
JPM,20.22,22.36,20.0,22.09,13.1746,51167000,0.0,"2002-11-15"
JPM,22.24,25.28,21.63,24.99,14.9041,73144900,0.0,"2002-11-22"
JPM,25.0,25.7,24.1,25.17,15.0115,35957200,0.0,"2002-11-29"
JPM,25.99,26.14,22.8,24.43,14.5702,59126100,0.0,"2002-12-06"
JPM,23.86,24.75,23.1,23.62,14.0871,41808800,0.0,"2002-12-13"
JPM,23.8,25.59,22.86,24.87,14.8326,63001300,0.0,"2002-12-20"
JPM,24.4,24.99,23.67,23.8,14.1944,26116800,0.0,"2002-12-27"
JPM,24.01,25.99,23.61,25.94,15.6775,42869800,0.34,"2003-01-03"
JPM,26.0,28.29,25.96,27.09,16.3725,76558700,0.0,"2003-01-10"
JPM,27.4,27.75,26.03,26.19,15.8286,43199300,0.0,"2003-01-17"
JPM,26.52,26.6,23.56,23.81,14.3902,46163400,0.0,"2003-01-24"
JPM,23.75,24.1,22.7,23.34,14.1061,48027500,0.0,"2003-01-31"
JPM,23.5,23.87,21.8,21.98,13.2842,42832900,0.0,"2003-02-07"
JPM,22.0,22.45,20.86,21.85,13.2056,50984500,0.0,"2003-02-14"
JPM,22.08,23.1,22.07,22.88,13.8281,32975100,0.0,"2003-02-21"
JPM,22.89,23.0,21.72,22.68,13.7072,41423800,0.0,"2003-02-28"
JPM,23.15,23.33,21.57,22.29,13.4715,43346200,0.0,"2003-03-07"
JPM,21.87,22.19,20.13,21.26,12.849,64429700,0.0,"2003-03-14"
JPM,21.25,24.9,21.01,24.65,14.8978,65043400,0.0,"2003-03-21"
JPM,23.75,24.59,23.45,24.45,14.777,42112200,0.0,"2003-03-28"
JPM,23.75,25.65,23.65,25.58,15.6692,53252700,0.34,"2003-04-04"
JPM,26.46,26.73,25.41,25.59,15.6754,47104200,0.0,"2003-04-11"
JPM,25.98,27.7,25.88,27.31,16.729,53059800,0.0,"2003-04-17"
JPM,27.31,29.69,27.16,27.96,17.1271,60786500,0.0,"2003-04-25"
JPM,28.0,30.05,28.0,29.86,18.291,57347600,0.0,"2003-05-02"
JPM,30.0,31.05,29.58,30.08,18.4258,56637400,0.0,"2003-05-09"
JPM,30.08,31.5,29.77,31.25,19.1425,43715500,0.0,"2003-05-16"
JPM,31.25,31.25,29.93,30.9,18.9281,39787500,0.0,"2003-05-23"
JPM,30.7,33.07,30.5,32.86,20.1287,43473500,0.0,"2003-05-30"
JPM,33.35,36.52,33.32,35.13,21.5192,60305800,0.0,"2003-06-06"
JPM,34.6,35.12,33.6,34.7,21.2558,46784600,0.0,"2003-06-13"
JPM,34.95,36.2,34.05,34.8,21.317,55924800,0.0,"2003-06-20"
JPM,34.55,34.82,33.5,33.9,20.7657,40081800,0.0,"2003-06-27"
JPM,34.25,34.51,33.05,34.13,21.1144,30123500,0.34,"2003-07-03"
JPM,34.48,36.12,34.4,35.76,22.1228,40175700,0.0,"2003-07-11"
JPM,36.48,38.26,34.82,35.33,21.8568,57675200,0.0,"2003-07-18"
JPM,35.1,35.51,33.5,35.47,21.9434,46529300,0.0,"2003-07-25"
JPM,35.47,35.82,33.23,33.36,20.638,52497200,0.0,"2003-08-01"
JPM,33.36,33.8,32.4,32.99,20.4091,55800700,0.0,"2003-08-08"
